Category,Service Name,Duration (min),Price (tax-incl JPY),Description
Eyelash,ナチュラル 80本,60,5500,自まつ毛を活かしたさりげないボリューム。両目/オフ込/コーティング込
Eyelash,キュート 100本,75,6600,程よい目力。日常使いのスタンダード。両目/オフ込/コーティング込
Eyelash,エレガント 120本,90,7700,華やかさとナチュラルの両立。両目/オフ込/コーティング込
Eyelash,ゴージャス 140本,100,8800,しっかりボリューム。目元の印象を最大限に。両目/オフ込/コーティング込
Eyelash,付け放題(〜200本),120,10100,自まつ毛の本数に合わせて最大級の仕上がり。両目/オフ込/コーティング込
Eyelash,ナチュラルリフト(まつ毛パーマ),60,5500,根元からやさしく立ち上げるナチュラルパーマ
Eyelash,パリジェンヌリフト,70,6600,目が一回り大きく見える人気のリフトアップ
Eyelash,リペア 〜40本 (2週間以内),30,2800,付け足し。装着日から2週間以内限定
Eyelash,リペア 〜100本 (3週間以内),60,5500,付け足し。装着日から3週間以内限定
Eyelash Option,カラー/ブラウンmix,0,550,カラーラッシュミックス(施術に合算)
Eyelash Option,高級セーブル/フラットへのグレードアップ,0,1100,軽やかでしなやかな質感に
Brow,アイブロウカット,20,1100,お顔立ちに合わせて眉の形を整える
Brow,ブロウワックス,30,2200,産毛までまとめて除去しクリアな眉印象に
Brow,ブロウラミネーション,60,5500,眉毛の流れを整えふんわり立体的な眉を長期キープ
Hair,カット,60,4400,シャンプー・ブロー込み
Hair,キッズカット(〜小学生),30,2750,お子様カット
Hair,前髪カット,15,1100,前髪のみカット
Hair,リタッチカラー,90,5500,根元のみ。シャンプー・ブロー込み
Hair,フルカラー,120,7700,全体カラー。長さ・毛量により追加
Hair,ハイライト,150,8800,ハイライト単品。長さ・毛量により追加
Hair,ダブルカラー/ブリーチ,180,13200,ブリーチ込み。長さ・毛量により追加
Hair,パーマ,120,8250,シャンプー・ブロー込み
Hair,デジタルパーマ,150,11000,シャンプー・ブロー込み
Hair,ベーシックトリートメント,30,3300,単品トリートメント
Hair,プレミアムトリートメント,45,5500,上位トリートメント
Set Menu,カット+カラー,150,9350,人気セット
Set Menu,カット+カラー+トリートメント,180,11550,ダメージケア込み人気No.1
Set Menu,カット+パーマ,180,11550,カット+パーマセット
Set Menu,カット+ヘッドスパ,90,7150,癒しのセット
Head Spa,ドライヘッドスパ 20分,25,3300,短時間リフレッシュ
Head Spa,ドライヘッドスパ 30分,35,4400,しっかり癒しコース
Arrange,ヘアアレンジ,45,4510,特別な日のアレンジ
Dressing,着付け 浴衣,30,5500,ヘアセット別途
Dressing,着付け 袴,45,8800,ヘアセット別途
Dressing,着付け 振袖,60,13200,ヘアセット別途
First Time,First Lash (初回限定 キュート100本),75,5500,初回限定価格(通常6600)
First Time,First Lift (初回限定 ナチュラルリフト),60,4400,初回限定価格(通常5500)
First Time,他店オフ,20,0,初回限定無料(通常1100)
